theta_deg    D(разы)        D(дБ)
 83.0631  1.605994e+00    2.0574
 83.2432  1.607767e+00    2.0622
 83.4234  1.609496e+00    2.0669
 83.6036  1.611179e+00    2.0714
 83.7838  1.612817e+00    2.0759
 83.9640  1.614410e+00    2.0801
 84.1441  1.615958e+00    2.0843
 84.3243  1.617460e+00    2.0883
 84.5045  1.618916e+00    2.0922
 84.6847  1.620327e+00    2.0960
 84.8649  1.621691e+00    2.0997
 85.0450  1.623010e+00    2.1032
 85.2252  1.624283e+00    2.1066
 85.4054  1.625509e+00    2.1099
 85.5856  1.626690e+00    2.1130
 85.7658  1.627823e+00    2.1161
 85.9459  1.628910e+00    2.1190
 86.1261  1.629951e+00    2.1217
 86.3063  1.630945e+00    2.1244
 86.4865  1.631892e+00    2.1269
 86.6667  1.632792e+00    2.1293
 86.8468  1.633646e+00    2.1316
 87.0270  1.634452e+00    2.1337
 87.2072  1.635211e+00    2.1357
 87.3874  1.635923e+00    2.1376
 87.5676  1.636588e+00    2.1394
 87.7477  1.637206e+00    2.1410
 87.9279  1.637776e+00    2.1425
 88.1081  1.638299e+00    2.1439
 88.2883  1.638775e+00    2.1452
 88.4685  1.639203e+00    2.1463
 88.6486  1.639583e+00    2.1473
 88.8288  1.639917e+00    2.1482
 89.0090  1.640202e+00    2.1490
 89.1892  1.640440e+00    2.1496
 89.3694  1.640631e+00    2.1501
 89.5495  1.640774e+00    2.1505
 89.7297  1.640869e+00    2.1507
 89.9099  1.640916e+00    2.1509
 90.0901  1.640916e+00    2.1509
 90.2703  1.640869e+00    2.1507
 90.4505  1.640774e+00    2.1505
 90.6306  1.640631e+00    2.1501
 90.8108  1.640440e+00    2.1496
 90.9910  1.640202e+00    2.1490
 91.1712  1.639917e+00    2.1482
 91.3514  1.639583e+00    2.1473
 91.5315  1.639203e+00    2.1463
 91.7117  1.638775e+00    2.1452
 91.8919  1.638299e+00    2.1439
 92.0721  1.637776e+00    2.1425
 92.2523  1.637206e+00    2.1410
 92.4324  1.636588e+00    2.1394
 92.6126  1.635923e+00    2.1376
 92.7928  1.635211e+00    2.1357
 92.9730  1.634452e+00    2.1337
 93.1532  1.633646e+00    2.1316
 93.3333  1.632792e+00    2.1293
 93.5135  1.631892e+00    2.1269
 93.6937  1.630945e+00    2.1244
 93.8739  1.629951e+00    2.1217
 94.0541  1.628910e+00    2.1190
 94.2342  1.627823e+00    2.1161
 94.4144  1.626690e+00    2.1130
 94.5946  1.625509e+00    2.1099
 94.7748  1.624283e+00    2.1066
 94.9550  1.623010e+00    2.1032
 95.1351  1.621691e+00    2.0997
 95.3153  1.620327e+00    2.0960
 95.4955  1.618916e+00    2.0922
 95.6757  1.617460e+00    2.0883
 95.8559  1.615958e+00    2.0843
 96.0360  1.614410e+00    2.0801
 96.2162  1.612817e+00    2.0759
 96.3964  1.611179e+00    2.0714
 96.5766  1.609496e+00    2.0669
 96.7568  1.607767e+00    2.0622
 96.9369  1.605994e+00    2.0574
 97.1171  1.604176e+00    2.0525
 97.2973  1.602314e+00    2.0475
 97.4775  1.600407e+00    2.0423
 97.6577  1.598456e+00    2.0370
 97.8378  1.596461e+00    2.0316
 98.0180  1.594422e+00    2.0260
 98.1982  1.592340e+00    2.0204
 98.3784  1.590214e+00    2.0146
 98.5586  1.588044e+00    2.0086
 98.7387  1.585832e+00    2.0026
 98.9189  1.583576e+00    1.9964
 99.0991  1.581277e+00    1.9901
 99.2793  1.578936e+00    1.9836
 99.4595  1.576553e+00    1.9771
 99.6396  1.574127e+00    1.9704
 99.8198  1.571659e+00    1.9636
100.0000  1.569149e+00    1.9566
100.1802  1.566598e+00    1.9496
100.3604  1.564005e+00    1.9424
100.5405  1.561371e+00    1.9351
100.7207  1.558696e+00    1.9276
100.9009  1.555981e+00    1.9200
101.0811  1.553224e+00    1.9123
101.2613  1.550428e+00    1.9045
101.4414  1.547591e+00    1.8966
101.6216  1.544715e+00    1.8885
101.8018  1.541798e+00    1.8803
101.9820  1.538843e+00    1.8719
102.1622  1.535848e+00    1.8635
102.3423  1.532814e+00    1.8549
102.5225  1.529742e+00    1.8462
102.7027  1.526631e+00    1.8373
102.8829  1.523482e+00    1.8284
103.0631  1.520295e+00    1.8193
103.2432  1.517071e+00    1.8101
103.4234  1.513809e+00    1.8007
